num,type,scenario,made,test
1,ccdc,1,y,y
2,ccdc,2,y,y
3,ccdc,3,y,y
4,ccdc,4,y,y
5,ccdc,5,y,y
6,ccdc,6,y,y
7,ccdc,7,y,y
8,ccdc,8,y,y
9,ccdc,9,y,y
10,ccdc,10,y,y
11,ccdc,11,y,y
12,ccdc,12,y,y
13,ccdc,13,y,y
14,ccdc,14,y,y
15,ccdc,15,y,y
16,ccdc,16,y,y
17,ccdc,17,y,y
18,ccdc,18,y,y
19,ccdc,19,y,y
20,ccdc,20,y,y
21,ccdc,21,y,y
22,ccdc,22,y,y
23,ccdc,23,y,y
24,ccdc,24,y,y
25,ccdc,25,y,y
26,ccdc,26,y,y
27,ccdc,27,y,y
28,ccdc,28,y,y
29,ccdc,29,y,y
30,ccdc,30,y,y
31,ccdc,31,y,y
32,ccdc,32,y,y
33,ccdc,33,y,y
34,ccdc,34,y,y
35,ccdc,35,y,y
36,ccdc,36,y,y
37,ccdc,37,y,y
38,ccdc,38,y,y
39,ccdc,39,y,y
40,ccdc,40,y,y
41,ccdc,41,y,y
42,ccdc,42,y,y
43,ccdc,43,y,y
44,ccdc,44,y,y
45,ccdc,45,y,y
46,ccdc,46,y,y
47,ccdc,47,y,y
48,ccdc,48,y,y
49,ccdc,49,y,y
50,ccdc,50,y,y
